Level2	G5R2_MAIN_09MAY2016_LD1	G5R4_NF_09MAY2016_LD1	G5R1_NF_09MAY2016_LD1	G5R2_NF_09MAY2016_LD1	G5R4_MAIN_09MAY2016_LD1	G5R1_MAIN_09MAY2016_LD1	G5R3_NF_09MAY2016_LD1	G5R3_MAIN_09MAY2016_LD1	G5R1_MAIN_31MAY2016_LD1	G5R4_MAIN_31MAY2016_LD1	G5R4_NF_31MAY2016_LD1	G5R2_MAIN_31MAY2016_LD1	G5R1_NF_31MAY2016_LD1	G5R2_NF_31MAY2016_LD1	G5R3_NF_31MAY2016_LD1	G5R3_MAIN_31MAY2016_LD1	G5R4_NF_20JUN2016_LD1	G5R4_MAIN_20JUN2016_LD1	G5R3_NF_20JUN2016_LD1	G5R1_MAIN_20JUN2016_LD1	G5R3_MAIN_20JUN2016_LD1	G5R2_NF_20JUN2016_LD1	G5R2_MAIN_20JUN2016_LD1	G5R1_NF_20JUN2016_LD1	G5R4_NF_12JUL2016_LD1	G5R2_NF_12JUL2016_LD1	G5R2_MAIN_12JUL2016_LD1	G5R1_MAIN_12JUL2016_LD1	G5R4_MAIN_12JUL2016_LD1	G5R3_NF_12JUL2016_LD1	G5R1_NF_12JUL2016_LD1	G5R3_MAIN_12JUL2016_LD1	G5R3_NF_01AUG2016_LD1	G5R4_NF_01AUG2016_LD1	G5R2_MAIN_01AUG2016_LD1	G5R1_MAIN_01AUG2016_LD1	G5R2_NF_01AUG2016_LD1	G5R4_MAIN_01AUG2016_LD1	G5R1_NF_01AUG2016_LD1	G5R3_MAIN_01AUG2016_LD1	G5R3_MAIN_22AUG2016_LD1	G5R1_NF_22AUG2016_LD1	G5R2_NF_22AUG2016_LD1	G5R4_NF_22AUG2016_LD1	G5R2_MAIN_22AUG2016_LD1	G5R1_MAIN_22AUG2016_LD1	G5R3_NF_22AUG2016_LD1	G5R4_MAIN_22AUG2016_LD1	G5R2_NF_12SEP2016_LD1	G5R2_MAIN_12SEP2016_LD1	G5R1_MAIN_12SEP2016_LD1	G5R4_NF_12SEP2016_LD1	G5R1_NF_12SEP2016_LD1	G5R3_MAIN_12SEP2016_LD1	G5R3_NF_12SEP2016_LD1	G5R4_MAIN_12SEP2016_LD1	G5R1_MAIN_03OCT2016_LD1	G5R2_NF_03OCT2016_LD1	G5R2_MAIN_03OCT2016_LD1	G5R4_MAIN_03OCT2016_LD1	G5R3_MAIN_03OCT2016_LD1	G5R1_NF_03OCT2016_LD1	G5R3_NF_03OCT2016_LD1	G5R4_NF_03OCT2016_LD1
Glycan biosynthesis and metabolism	77.6819610732117	79.21879006410764	91.0849444246629	23.262667374501	22.991397279649878	20.39017200503874	39.29199581265574	0.0	61.984956454413165	22.450177379475328	20.84467188388095	22.659499097203582	80.04166384257704	41.545893822216655	0.0	0.0	61.57578783619563	38.849677854811304	73.88526264834762	73.65024637369628	42.593951183101126	41.32930502067251	41.82822822025091	76.9601075490464	83.50024625149119	77.28582961575889	76.3990081170444	77.8673975710185	78.38631021160042	91.0669636086014	75.28224980185693	56.29475439460415	90.00277820325627	90.15165971033342	83.57144743069787	89.99380639930268	87.13715223452462	69.59662894009422	86.13558384373246	85.74644994259782	76.00013149301145	77.94880061153235	79.11390913887865	82.06415620155823	77.13782422510366	77.96764670103441	77.39315602562141	76.24088424096217	77.39663611253707	77.14396058398684	76.04349266047197	77.48221884796827	76.91608848737599	76.56431308745636	75.63650911222535	75.8213076344321	75.29579276905885	75.48267144057722	75.14094285372349	75.19412170751531	75.5070256521648	75.77811379303229	75.14235752219358	74.66422823969302
Lipid metabolism	91.4468611954846	118.81162968777191	70.15858510006339	88.27414705554406	63.211904801350094	63.064673679296966	76.05501583765688	0.0	59.60027048851376	44.291674218982756	21.35549750764694	42.47718489851704	121.07043635668853	41.56715059687046	19.75051640003293	48.911890645213695	122.19008403692251	111.74361801696553	88.62746693540547	89.22532801094394	42.46466995552035	83.64857110686475	99.53460858697082	116.00535256896161	77.72938563698453	115.07549462159852	116.60071215389294	101.63037982120474	115.41850920699275	109.93141948093773	112.43115143926448	109.26930613534172	123.0802004836612	127.82283079718621	118.8780976927572	123.7133479837945	123.97823962827093	124.15898706258108	120.57744037638045	120.70564817198452	124.53303384089696	110.86937456565187	113.18745553330024	117.69425931794783	124.19167271369759	129.3461874770543	109.1782025319187	125.22561398620624	125.02235304345153	122.9162520748078	119.11837033671019	124.1039363307808	123.51184834500114	120.95499560249826	119.1090848509151	117.7817416034482	118.16041626998258	118.60761643375378	117.87200648034214	118.45340327149526	117.97791907121862	118.64100847371773	119.5082679523042	118.57446827096692
Membrane transport	17.897000765502955	18.74753977525591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.18705318690403	0.0	0.0	0.0	0.0	18.462821988037604	17.046103762714214	18.247877206835824	19.921426593054832	0.0	18.200236359664263	19.47306388616601	0.0	17.23818183188944	0.0	19.249900056692987	18.8891397955768	17.235579902470295	17.111526223879423	17.84421453973709	16.389834713858125	17.528771214410718	16.327099510821714	17.930015277646273	16.954617132043477	16.93080524173303	16.46079892757202	16.66618062021246	14.887907528634175	15.379758906442351	15.827298541901952	16.159394959055376	14.861483328576957	15.160357893602667	15.216669320973766	15.002554726129764	15.198430522935091	15.095441703770211	14.714523628246031	15.346414697984509	15.093533410907943	14.864865627657531	14.92176416273751	14.59000645843659	14.708900236144878	14.74463481014745	14.546721075278754	14.701268594967503	14.500258388259432	14.655220726111605	14.937021003772745	14.705938300537584
Metabolism of cofactors and vitamins	184.6555139791213	178.10950000388578	138.23678826182805	110.01426987527472	84.3623817558109	191.29136930303744	196.61538866533763	20.35312145265606	142.89306771640085	40.66846482447748	45.21744860097124	86.32318045298632	194.53205860996087	0.0	0.0	18.239787628342278	98.37406868204468	164.50861078007134	175.2997396560726	176.3404003616643	64.76798607591417	161.77105882506717	157.7006555064061	169.69630514492096	177.03713308896903	167.7873261080912	187.3783363290022	177.40595548243917	190.10431640216453	180.07529101658733	187.18798406391548	186.80571952212108	171.22844787571282	177.2864018837289	165.61694457809116	175.3741795470864	171.72112347076865	173.6419616778099	167.01879503875813	169.4212681771766	152.3202843375893	155.19938108650916	158.7606968583487	163.05952499229596	152.30251431017726	155.44416457862786	153.86809794033167	152.30239643660545	155.06064049029914	153.37403370703527	150.6978560016274	154.91507873349443	154.1244130904952	152.46679088378403	150.78171643967184	149.88571114165748	149.9368599376886	150.34778943010647	149.49004347103613	149.65903086549585	149.35100488050233	150.34599239639374	150.86551323273522	148.97089133662007
Metabolism of other amino acids	127.87998993188667	98.04092869412106	64.24754306267535	20.945393286868597	42.16573112759056	64.11518956737821	121.2859244246335	64.56986462324183	124.66292667234276	21.46504507611317	60.40763311161562	65.16622012151893	116.89582185671796	63.54255678270579	0.0	0.0	61.85644039314193	132.95999866628694	121.36537890894698	121.66351783219899	104.70908697981218	60.75510082478316	94.9130006111728	132.6074697655142	133.8743966984695	133.79141778603514	112.71793374044319	97.88682625525377	115.99484553702293	124.13373481742082	127.81538473654851	107.83412631485288	119.93548357496543	123.10425042570574	115.85732618626545	120.94228575954207	121.87406206666758	121.00644414070679	117.5012807026271	117.71362632768876	107.37386763725975	109.52383966632584	111.60706691374034	115.3230930441733	106.95374775732934	109.07856060945984	108.72686239579237	105.43656647404664	108.68214836765036	107.37893957414695	105.90461597176237	108.4812203732773	107.06280466203243	106.93955437690146	105.43638742761016	105.47612383799819	105.1690348050598	105.45008783095076	104.65809961258931	104.92556823090482	104.99800241291383	105.18670794831277	105.1242113282913	104.78697784723832
Metabolism of terpenoids and polyketides	137.27318617418302	39.35849690164678	89.45569054658372	22.494728495984482	21.666340604546974	21.526282512185503	63.66440727517838	0.0	42.425011914652394	0.0	0.0	0.0	111.54422954052362	0.0	0.0	0.0	81.00297817841926	98.87172187777404	89.8298486742519	95.71966673509884	21.021931568365577	39.815355953118555	41.143396211429774	94.63675500449885	61.19264302304967	77.2063345764881	58.653684781450735	95.35601798159462	122.72812042100551	91.04909614258132	116.26246811114422	94.24257888541838	140.52296469221565	106.9974627578796	134.6719370998241	124.22063279678649	142.83536621530482	124.42391316738204	134.93003374203005	121.82004407301474	122.40792483083372	128.00191858871457	132.27557520684127	133.51358452284651	124.91194910605685	126.87775242886318	126.72985522289707	123.58069715581092	124.06704538326399	122.46075842140849	120.79739807908511	123.17899073914981	122.63921236517528	121.06021418719646	119.23732824368106	118.36333315210993	118.55452432413381	119.41621052261608	118.31759632855388	118.96559864141524	117.72908613062779	119.2102029687155	119.67559173596511	118.66614250176634
Nervous system	20.230408483325792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.527199703867684	19.956250528992424	0.0	0.0	19.062257445551385	18.081423498707604	0.0	19.491421921148955	17.882720460764354	19.74171105436889	0.0	0.0	19.175877981993995	17.454645061023122	17.60552644955716	18.76051707679155	17.099845883283745	17.97540201636614	17.567572222092846	17.51840132962659	17.212705789393294	17.820969983181204	15.735984855414408	15.947024303499422	16.688950333656546	16.50567574558964	15.382492377176089	16.471815363790256	16.09095935342212	15.958516854024397	16.27494597718539	15.591606708270147	15.395640813669916	15.76076984946598	15.678812786421318	15.695511196424151	15.436298387789973	15.32400304948216	15.31191436702638	15.652600311311822	15.271001306735274	15.216881874763095	15.132545655084012	15.363864059730382	15.379420223661095	15.685099608724414
Nucleotide metabolism	37.021774045240406	37.64488962837786	44.11523610842286	47.68609726190893	40.90638462057322	41.48037461547024	38.37596648446276	50.409729588240616	38.806557518171516	23.38247113560557	23.208967607960222	47.73805145572942	38.82988227843066	47.95553183845329	0.0	47.102583162166965	40.79265909339179	37.85970514060422	35.02126354192367	35.77759982999751	41.634635992610804	38.84858598589746	38.52798768325508	35.7639310261618	38.51251123829573	37.408632743012134	36.681590776413	38.61798143441002	39.38338441754179	36.86644926145124	37.70077443088128	36.45154747072918	33.720877858536745	35.390182240467794	32.574895930624514	34.75284477641054	34.04879385831984	34.685049294734085	33.27002731286039	33.323452256061245	30.11424035502889	31.03238255385012	31.742862600693826	32.36888351113127	30.239731897733584	30.809217220843582	30.52033421064455	30.20420266374169	30.829868553681635	30.36077564433877	29.836270236440342	30.681110386894673	30.45704092842416	30.32318918215518	29.862029651222368	29.761447586728934	29.723538610316318	29.81323488850243	29.667682941285776	29.70597640592278	29.592394313813422	29.876606637018387	29.802453266789072	29.7060589997171
Replication and repair	126.78870145855466	38.9987842519362	0.0	0.0	0.0	0.0	0.0	74.14260913796296	81.25430136691304	0.0	0.0	19.59806930318979	73.6510339218978	0.0	0.0	0.0	18.719006648542994	52.259399993261226	125.5918963672604	124.90777762530428	0.0	75.32291189518091	16.20760847610065	93.59068191384301	19.695276702475308	35.959773168820114	38.95261819752544	38.866665749843975	96.79521654497591	129.1272424591237	94.95476455716057	108.99889352158142	117.60739060303354	112.5507690888509	116.78815567652146	125.89117229207837	120.07450380378945	127.3689722581893	101.68132268750885	104.03341222762946	108.15441870085317	110.33651526349543	110.59176150748006	115.18697322738619	108.74205951620021	111.38289616738065	108.10512414118978	105.91132226199855	109.59311030396582	108.99952986363368	107.48073658667445	109.17003381763811	109.21933466839003	110.31837804923188	106.62880510409448	106.82522458482359	105.77452000385475	106.25687831184224	106.38720671262863	106.07286514560856	105.5712953212753	107.42431475957798	106.92468103096527	105.46701538004575
Signal transduction	36.21495215424254	40.12211773879803	21.890503300420498	23.888570451233964	22.949858924611995	21.491327423350278	21.494231661738016	23.956882894401218	18.85066031817134	0.0	18.75360677168826	23.21017232887811	19.5716457841271	24.75257844104823	0.0	25.551461838892756	22.84188818062174	19.26935589257981	33.351395995192	17.390443819004787	24.062080156750472	20.01507704175578	21.200598896564266	51.21618098477395	21.114758130785678	36.53536127484105	19.381639173583785	20.169673016521536	19.173954758566563	34.06144791095534	19.780149013352144	35.24614389322329	48.977757113028325	35.370709678109705	67.25908655607319	48.00409265863208	66.54130992713135	34.47753956036193	63.76048361667386	67.82595587999631	63.13620982504784	30.659056214935	32.724739463778945	71.77971872905768	62.82177458253922	61.37304624620238	31.600057144755528	65.63533115296104	61.16126276570719	63.31871072568647	61.435517001926215	61.49145628889522	62.75775147024365	62.4010335466665	61.33813729502603	60.01228164646729	61.4369598198038	63.231757628753854	61.053845794911965	61.29295586022959	62.50015331239425	62.24010862849546	62.04610628003201	59.79080142502046
Translation	53.91497077682553	61.2249238257908	22.35313912783089	23.51822187396651	20.2137421763022	21.183195399915213	19.16932501374796	21.682039239924624	20.8322541585136	0.0	22.98971510624652	22.413217272022308	18.881069705752097	0.0	0.0	0.0	19.72867666031409	53.409893799501404	17.68426452961881	52.23789110574208	60.887160068063295	20.327687016483196	19.498984617601113	52.635440863556575	53.50856520584611	55.067046181905546	18.493735709398557	54.06815341154217	19.032989497130032	17.87393732219498	50.357780386174255	52.59984933098197	16.850931443967347	52.54804699054989	49.01917739334674	17.274209666221896	51.12927748700555	50.952987246005165	50.9896418074604	50.593029316249755	45.0738211182243	46.46278083388541	47.87528240484549	47.711753670179725	46.05771327935727	45.68505605155779	45.80791358803737	45.449109704343414	46.846710264149976	46.0031944016552	45.32295593173476	46.29979636986582	46.2303755668004	45.77265548405106	46.1401108349001	45.732548067218616	45.47048005374794	45.92757940438445	45.84759018188183	45.185451269453246	45.472665640867675	46.474514823260826	46.14134504813704	44.40477537100108
Transport and catabolism	17.531677287054464	19.307509651276675	0.0	20.871767165176788	0.0	0.0	0.0	18.742417439023548	20.90635994262396	0.0	0.0	0.0	18.853919904567	0.0	0.0	18.44128458870048	0.0	18.460808478046307	16.71625906297359	16.860749377026213	0.0	19.622353576185606	18.864240724359806	18.89314276998603	18.514595452463798	19.939038197256533	19.068167759982803	19.025560476186808	18.885558136494986	16.677346228093196	18.656689817451348	18.319006427010724	17.212356116988623	17.339582245665834	16.4785118048171	18.654615699967426	16.882852314372276	17.50028611413767	16.478692887385343	17.134536296305445	15.39438296366822	15.846858871336675	15.888870137517886	16.479366961991357	15.35182940830985	15.572792114019116	15.528851504663201	15.150440897640005	15.61268908618836	15.207802664667495	15.130224989635314	15.581664132062633	15.25731623166452	15.161606121705171	14.912164517836224	15.005621344518106	14.929145056512432	15.072356870069552	14.958207008607076	14.913179691684816	14.85043441673611	15.043135929130726	14.900901408097344	15.093641713190625
Xenobiotics biodegradation and metabolism	221.34599463599042	157.40541006458665	137.6766250884502	21.585340752217746	84.45330093835315	83.24718288093084	221.85927327160377	0.0	101.71861567842573	0.0	0.0	22.4874219137219	193.72191776392762	0.0	0.0	0.0	126.86555262577723	213.72367792946628	215.98905145996105	213.86222998702638	0.0	96.56669187437679	177.41454188093275	211.0611714361792	137.58310154612332	177.96733373765272	173.9346733630345	283.7558149461158	182.22535447256385	203.4367978100113	199.94187669521182	184.44015316266456	266.9931884216566	260.4739023582889	255.70958586581307	250.64484859785563	268.6544645728748	232.16627008666939	261.83666239530686	263.8988366863634	235.69167268787723	245.81972968856942	250.30419391191137	256.53713718445954	238.44959694638004	242.2033341410993	244.2983883232521	236.20642710372036	235.3471541744762	231.21085613314153	225.4395700324961	235.4113882115046	233.1083946090939	228.81580018958937	225.52071503494165	223.4764619763722	223.39239359418124	224.2106690841603	223.07975926467634	224.0200278567929	222.552405647716	223.4774093599995	225.22740041243105	223.33889930244976
